variant,verify
P-256,131.2052318444828
P-256,132.8697000022521
P-256,132.85222841447796
P-256,134.7014653743376
P-256,136.1173780534934
P-256,132.05290738403465
P-256,132.3324009260357
P-256,135.18804671710484
P-256,131.34014829943118
P-256,120.37633072496818
P-256,133.37309571250995
P-256,131.0946460015985
P-256,132.92726085188218
P-256,135.241833389087
P-256,131.356981850489
P-256,133.74211554633695
P-256,130.3849760738989
P-256,126.19928637126695
P-256,132.15197978957443
P-256,133.4830425291786
P-256,133.49840085097514
P-256,132.11515649792625
P-256,133.76470216440333
P-256,131.10389900485646
P-256,137.21177597339152
P-256,131.97501828534507
P-256,127.4217520798858
P-256,133.2236751926855
P-256,133.4028768833208
P-256,134.63748719970562
P-256,136.69165366294794
P-256,132.98951614254344
P-256,134.36695102418395
P-256,130.7448860674159
P-256,134.13279871046922
P-256,134.11800511396277
P-256,135.57320943072207
P-256,132.8101037819496
P-256,132.40819104616375
P-256,136.6994724700445
P-256,136.35845828517918
P-256,135.01367741647695
P-256,133.8789066273254
P-256,134.74521092189107
P-256,134.23780582129478
P-256,133.44604912853242
P-256,134.09549995589774
P-256,135.37283124099258
P-256,136.93744873460167
P-256,131.3150664254192
P-256,133.29025716632214
P-256,132.0823757306824
P-256,134.01925798639147
P-256,134.37808721657902
P-256,126.83883235088506
P-256,132.7506006015921
P-256,126.77462957949106
P-256,133.74295389437833
P-256,131.90544663996934
P-256,131.29340824089303
P-256,133.43372040889994
P-256,133.6483486494651
P-256,132.62608239870536
P-256,135.1503080365788
P-256,134.0172680362305
P-256,133.1059910730721
P-256,134.9247433276103
P-256,135.97302553144795
P-256,134.12078932261
P-256,131.71735463961534
P-256,135.3226177295683
P-256,133.74443007442807
P-256,134.23370568631032
P-256,136.50537178648327
P-256,132.59287739239892
P-256,134.91057219265784
P-256,135.95179028052237
P-256,132.68095257956332
P-256,132.1493539791232
P-256,130.49969052096566
P-256,133.11504421402694
P-256,129.7577333388849
P-256,133.1823176663272
